Time (min)	Step (s)	Value (EU)
21.633333	0.5	0.199257
21.641667	0.5	0.236757
21.650000	0.5	0.276015
21.658333	0.5	0.317226
21.666667	0.5	0.360390
21.675000	0.5	0.404922
21.683333	0.5	0.449843
21.691667	0.5	0.491445
21.700000	0.5	0.524062
21.708333	0.5	0.543593
21.716667	0.5	0.550820
21.725000	0.5	0.549062
21.733333	0.5	0.542812
21.741667	0.5	0.535195
21.750000	0.5	0.523086
21.758333	0.5	0.501797
21.766667	0.5	0.469570
21.775000	0.5	0.430117
21.783333	0.5	0.392226
21.791667	0.5	0.358437
21.800000	0.5	0.327382
21.808333	0.5	0.293007
21.816667	0.5	0.250234
21.825000	0.5	0.201211
21.833333	0.5	0.151601
21.841667	0.5	0.109414
21.850000	0.5	0.079336
21.858333	0.5	0.061367
21.866667	0.5	0.050429
21.875000	0.5	0.040859
21.883333	0.5	0.029531
21.891667	0.5	0.013711
21.900000	0.5	-0.007188
21.908333	0.5	-0.028282
21.916667	0.5	-0.047227
21.925000	0.5	-0.056797
21.933333	0.5	-0.058946
21.941667	0.5	-0.058555
21.950000	0.5	-0.060703
21.958333	0.5	-0.067735
21.966667	0.5	-0.077110
21.975000	0.5	-0.084922
21.983333	0.5	-0.085313
21.991667	0.5	-0.080235
22.000000	0.5	-0.074766
22.008333	0.5	-0.073203
22.016667	0.5	-0.074961
22.025000	0.5	-0.077891
22.033333	0.5	-0.078477
22.041667	0.5	-0.078672
22.050000	0.5	-0.082188
22.058333	0.5	-0.091758
22.066667	0.5	-0.104453
22.075000	0.5	-0.115977
22.083333	0.5	-0.121250
22.091667	0.5	-0.120078
22.100000	0.5	-0.116172
22.108333	0.5	-0.114219
22.116667	0.5	-0.116172
22.125000	0.5	-0.119688
22.133333	0.5	-0.121446
22.141667	0.5	-0.120274
22.150000	0.5	-0.119883
22.158333	0.5	-0.123985
22.166667	0.5	-0.129258
22.175000	0.5	-0.132774
22.183333	0.5	-0.130430
22.191667	0.5	-0.125157
22.200000	0.5	-0.121836
22.208333	0.5	-0.126524
22.216667	0.5	-0.133164
22.225000	0.5	-0.137461
22.233333	0.5	-0.136680
22.241667	0.5	-0.132969
22.250000	0.5	-0.132383
22.258333	0.5	-0.136094
22.266667	0.5	-0.142149
22.275000	0.5	-0.147422
22.283333	0.5	-0.150352
22.291667	0.5	-0.153086
22.300000	0.5	-0.156016
22.308333	0.5	-0.157969
22.316667	0.5	-0.155625
22.325000	0.5	-0.149571
22.333333	0.5	-0.142930
22.341667	0.5	-0.140000
22.350000	0.5	-0.142735
22.358333	0.5	-0.148203
22.366667	0.5	-0.153672
22.375000	0.5	-0.156993
22.383333	0.5	-0.157578
22.391667	0.5	-0.155039
22.400000	0.5	-0.151133
22.408333	0.5	-0.147032
22.416667	0.5	-0.144297
22.425000	0.5	-0.142149
22.433333	0.5	-0.141368
22.441667	0.5	-0.141368
22.450000	0.5	-0.144297
22.458333	0.5	-0.147813
22.466667	0.5	-0.152110
22.475000	0.5	-0.154844
22.483333	0.5	-0.155821
22.491667	0.5	-0.156602
22.500000	0.5	-0.155235
22.508333	0.5	-0.150938
22.516667	0.5	-0.141172
22.525000	0.5	-0.127305
22.533333	0.5	-0.114610
22.541667	0.5	-0.108360
22.550000	0.5	-0.109727
22.558333	0.5	-0.116758
22.566667	0.5	-0.123985
22.575000	0.5	-0.126524
22.583333	0.5	-0.122227
22.591667	0.5	-0.114024
22.600000	0.5	-0.105235
22.608333	0.5	-0.098985
22.616667	0.5	-0.093907
22.625000	0.5	-0.086680
22.633333	0.5	-0.073203
22.641667	0.5	-0.055039
22.650000	0.5	-0.033555
22.658333	0.5	-0.013828
22.666667	0.5	0.005117
22.675000	0.5	0.024843
22.683333	0.5	0.046523
22.691667	0.5	0.069179
22.700000	0.5	0.091445
22.708333	0.5	0.112148
22.716667	0.5	0.133242
22.725000	0.5	0.152382
22.733333	0.5	0.169179
22.741667	0.5	0.182070
22.750000	0.5	0.189101
22.758333	0.5	0.191640
22.766667	0.5	0.188906
22.775000	0.5	0.181289
22.783333	0.5	0.170547
22.791667	0.5	0.157461
22.800000	0.5	0.146132
22.808333	0.5	0.136367
22.816667	0.5	0.126406
22.825000	0.5	0.113906
22.833333	0.5	0.097890
22.841667	0.5	0.077187
22.850000	0.5	0.055898
22.858333	0.5	0.030898
22.866667	0.5	0.002382
22.875000	0.5	-0.028477
